课程代码,课程名称,学分,所属模块,开课学期,先修课,专业,年级
A2040060,计算机组织与结构,3.5,必修课,2026秋,,数据科学与大数据技术+经济学联合培养,2024
A2040100,数据库原理(双语),4.0,必修课,2026秋,数据结构与算法分析,数据科学与大数据技术+经济学联合培养,2024
A2041531,自然语言处理技术,2.0,必修课,2026秋,机器学习基础,数据科学与大数据技术+经济学联合培养,2024
A2041840,经济研究方法及写作,1.0,必修课,2026秋,,数据科学与大数据技术+经济学联合培养,2024
A2041830,习近平新时代中国特色社会主义经济思想专题,1.0,必修课,2026秋,,数据科学与大数据技术+经济学联合培养,2024
A2041910,数字贸易,2.0,必修课,2026秋,,数据科学与大数据技术+经济学联合培养,2024
A2041100,自然语言处理综合实践,2.0,必修课,2026秋,自然语言处理技术,数据科学与大数据技术+经济学联合培养,2024
A2040360,面向对象程序设计-C++,3.0,选修课,2026秋,C语言程序设计,数据科学与大数据技术+经济学联合培养,2024
A2040370,面向对象程序设计-JAVA,3.0,选修课,2026秋,C语言程序设计,数据科学与大数据技术+经济学联合培养,2024
A2041650,数字图像处理C,2.0,选修课,2026秋,,数据科学与大数据技术+经济学联合培养,2024
A2041860,证券投资分析,2.0,选修课,"2026秋,2025秋",,数据科学与大数据技术+经济学联合培养,2024
A2041960,证券投资分析实验,1.0,选修课,"2026秋,2025秋",,数据科学与大数据技术+经济学联合培养,2024
A2041930,流通经济学,2.0,选修课,2026秋,,数据科学与大数据技术+经济学联合培养,2024
A1100015,形势与政策,1.0,必修课,"2024秋,2026春,2026秋,2027秋",,计算机科学与技术,2024
A1100041,中国近现代史纲要,3.0,必修课,2024秋,,计算机科学与技术,2024
A1100022,思想道德与法治,3.0,必修课,2025春,,计算机科学与技术,2024
A1100080,国家安全教育,1.0,必修课,2025春,,计算机科学与技术,2024
A1100061,思想政治理论课实践教学,2.0,必修课,2025春,,计算机科学与技术,2024
A1100052,毛泽东思想和中国特色社 会主义理论体系概论,2.0,必修课,2025秋,,计算机科学与技术,2024
A1100071,习近平新时代中国特色社 会主义思想概论,3.0,必修课,2025秋,,计算机科学与技术,2024
A1100032,马克思主义基本原理,3.0,必修课,2026春,,计算机科学与技术,2024
A1000050,军事训练,2.0,必修课,2024秋,,计算机科学与技术,2024
A1090013,大学体育1（上）,0.5,必修课,2024秋,,计算机科学与技术,2024
A1170010,军事理论,2.0,必修课,2024秋,,计算机科学与技术,2024
A1090014,大学体育1（下）,0.5,必修课,2025春,,计算机科学与技术,2024
A1090023,大学体育2（上）,0.5,必修课,2025秋,,计算机科学与技术,2024
A1090024,大学体育2（下）,0.5,必修课,2026春,,计算机科学与技术,2024
A1050370,通用学术英语 1,3.0,必修课,"2024秋,2025春",,计算机科学与技术,2024
A1050360,大学英语,3.0,必修课,2024秋,,计算机科学与技术,2024
