# 培养方案学分规则表（合并版：周婧妍 9 专业数据 + 修正）
# 注1：各专业实践环节学分已包含在必修课学分内（与培养方案"必修+选修=总学分"一致），
#      不单独成行，否则诊断总学分会重复计算。各专业实践环节参考学分：
#      智能科学与技术 29 / 数据科学与大数据技术 33 / 人工智能 27 / 机器人工程 29 /
#      联合培养 28 / 智能科学新工科英才班 28 / 大数据英才班 33 / 智能机器人英才班 26
# 注2：年级统一为 2024，与课程库 courses.csv、成绩单 transcript.csv 一致。
专业,年级,模块名称,要求学分,最低选修学分,备注
智能科学与技术,2024,必修课,126,0,含通识、数理、专业基础及核心课（含实践环节）
智能科学与技术,2024,选修课,0,24,修满24学分、含专业方向与个性化
数据科学与大数据技术,2024,必修课,123,0,含通识、数理、专业基础及核心课（含实践环节）
数据科学与大数据技术,2024,选修课,0,27,需修满27学分、含专业方向与跨专业
人工智能,2024,必修课,136,0,含通识、数理、专业基础及核心课（含实践环节）
人工智能,2024,选修课,0,24,需修满24学分、含专业方向与个性化
机器人工程,2024,必修课,130,0,含通识、数理、专业基础及核心课（含实践环节）
机器人工程,2024,选修课,0,20,需修满20学分、专业方向模块任选一
数据科学与大数据技术+经济学联合培养,2024,必修课,140,0,含经管基础、大数据专业基础及核心课（含实践环节）
数据科学与大数据技术+经济学联合培养,2024,选修课,0,26,需修满26学分、经济学与大数据方向各选1学分
智能科学与技术新工科英才班,2024,必修课,126,0,含通识、数理、专业基础及核心课（含实践环节）
智能科学与技术新工科英才班,2024,选修课,0,26,需修满26学分、含方向二选一及个性化
数据科学与大数据技术英才班,2024,必修课,114,0,含通识、数理、专业基础及核心课（含实践环节）
数据科学与大数据技术英才班,2024,选修课,0,18,需修满18学分、含方向与跨专业选修
智能机器人英才班,2024,必修课,152,0,含机械电子、控制、计算机及核心课（含实践环节）
智能机器人英才班,2024,选修课,0,14,需修满14学分、含跨专业与数智化选修
计算机科学与技术,2024,必修课,131.0,0.0,含通识、数理、专业基础及核心课（含实践环节），总学分158.0
计算机科学与技术,2024,选修课,0.0,27.0,需修满27.0学分
计算机科学与技术卓越工程师班,2024,必修课,124.0,0.0,含通识、数理、专业基础及核心课（含实践环节），总学分150.0
计算机科学与技术卓越工程师班,2024,选修课,0.0,26.0,需修满26.0学分
计算机科学与技术菁英班,2024,必修课,121.0,0.0,含通识、数理、专业基础及核心课（含实践环节），总学分146.0
计算机科学与技术菁英班,2024,选修课,0.0,25.0,需修满25.0学分
计算机科学与技术（拔尖创新班）,2024,必修课,123.0,0.0,含通识、数理、专业基础及核心课（含实践环节），总学分149.0
计算机科学与技术（拔尖创新班）,2024,选修课,0.0,26.0,需修满26.0学分
计算机科学文峰班,2024,必修课,123.0,0.0,含通识、数理、专业基础及核心课（含实践环节），总学分149.0
计算机科学文峰班,2024,选修课,0.0,26.0,需修满26.0学分
软件工程,2024,必修课,137.0,0.0,含通识、数理、专业基础及核心课（含实践环节），总学分162.0
软件工程,2024,选修课,0.0,25.0,需修满25.0学分
软件工程专业卓越工程师班,2024,必修课,140.0,0.0,含通识、数理、专业基础及核心课（含实践环节），总学分162.0
软件工程专业卓越工程师班,2024,选修课,0.0,22.0,需修满22.0学分
软件工程英才班,2024,必修课,133.0,0.0,含通识、数理、专业基础及核心课（含实践环节），总学分157.0
软件工程英才班,2024,选修课,0.0,24.0,需修满24.0学分
